"receita_id","receita_nome","script_key","administradora_agente","condominio_id","condominio_nome","administradora_condominio","carteira","status","captacao_automatica_habilitada_anterior","captacao_dia_mes_anterior","captacao_horario_anterior","captacao_automatica_habilitada_novo","captacao_dia_mes_novo","captacao_horario_novo"
"8aecb5d5-3bf1-43cf-81c1-9015d9f17465","Associação Palácio das Águas Home Resort · Inadimplência","manager_atentum_cotas_pendentes","Manager","2c65176b-c181-486b-94cc-9bc56562994f","ASSOCIAÇÃO PALÁCIO DAS ÁGUAS HOME RESORT","Manager","Genske Advogados","ativo","false",,"08:00","true","13","00:30"
"d477af4d-cdb7-48eb-ad7d-7eecf433671c","CLOCK VILA ROMANA · Inadimplência","bbz_condopro_clock_vila_romana","BBZ / CondoPro","dbedc334-fa3c-45af-be32-ea9f92b62bb2","CLOCK VILA ROMANA",,"Genske Advogados","ativo","true","13","22:15","true","13","00:38"
"34ef73b1-f14d-42b8-830e-76ac06db0af7","VERDANA JARDIM PRUDENCIA SETOR RESIDENCIAL · Inadimplência","verti_winker_inadimplencia","Verti / Winker","9579ec44-4b84-4b8c-8057-3225ed0a6a1d","VERDANA JARDIM PRUDENCIA SETOR RESIDENCIAL","Verti","Genske Advogados","ativo","true","13","23:10","true","13","00:47"
"4c7a5341-9616-42b3-85de-ea9f0ca182e3","Square Guarulhos · Inadimplência","villagua_condopro_square_guarulhos","Villágua / Webware","6578362b-304c-44bb-85b7-2e0f90a36bb4","CONDOMÍNIO SQUARE GUARULHOS","Villágua","Genske Advogados","ativo","true","13","23:20","true","13","00:55"
"ec7b690e-f647-4a21-b13d-9b94b9f6d33d","Condomínio Alpha Stay · Inadimplência","manager_atentum_cotas_pendentes","Manager","8074ba1e-6372-43d8-8b26-82c685412f24","CONDOMÍNIO ALPHA STAY","Manager","Genske Advogados","ativo","false",,"08:00","true","13","01:04"
"caebf30a-a706-4e64-906a-0afdbaa4b335","COND. VIVAZ ESTAÇÃO VILA PRUDENTE · Inadimplência","bbz_condopro_clock_vila_romana","BBZ / CondoPro","d8e194f8-0d43-4c13-9ed8-9441d86339e1","COND. VIVAZ ESTAÇÃO VILA PRUDENTE","BBZ","Genske Advogados","ativo","true","13","22:20","true","13","01:12"
"e6018dce-b15a-4463-a51a-add62e4c1933","VERDANA SUITES JARDIM PRUDENCIA SETOR MORADIA TORRE 3 · Inadimplência","verti_winker_inadimplencia","Verti / Winker","956644e2-662b-4a0f-94e0-5d8461430c6e","VERDANA SUITES JARDIM PRUDENCIA SETOR MORADIA TORRE 3","Verti","Genske Advogados","ativo","true","13","23:15","true","13","01:21"
"72ed4b36-e37b-4c4a-80bd-5d5b95b2746c","Condomínio Cádiz Jardim Prudência · Inadimplência","manager_atentum_cotas_pendentes","Manager","47926d7c-030b-4469-8713-b23eda558a56","CONDOMÍNIO CÁDIZ JARDIM PRUDÊNCIA","Manager","Genske Advogados","ativo","false",,"08:00","true","13","01:29"
"0eb27bcc-c9a4-4314-befd-8513983a8a03","CONDOMINIO DOMO RESIDENCIAL LIFE · Inadimplência","bbz_condopro_clock_vila_romana","BBZ / CondoPro","64350e69-b812-4d6c-8e13-54b6958452a2","CONDOMINIO DOMO RESIDENCIAL LIFE","BBZ","Genske Advogados","ativo","true","13","22:25","true","13","01:38"
"ee8e7220-f646-414a-8eda-2cef3a7933a3","Condomínio Caroline Mahal · Inadimplência","manager_atentum_cotas_pendentes","Manager","659e5c92-af54-4d65-b7bb-7b26e29d1322","CONDOMÍNIO CAROLINE MAHAL","Manager","Genske Advogados","ativo","false",,"08:00","true","13","01:46"
"cd83952f-9a04-4e29-88dc-1988db45ec3e","CONDOMINIO EDIFICIO ESTAÇÃO GABRIELE · Inadimplência","bbz_condopro_clock_vila_romana","BBZ / CondoPro","d5beddb6-d60b-4f17-aca6-161feb4fc9c9","CONDOMINIO EDIFICIO ESTAÇÃO GABRIELE","BBZ","Genske Advogados","ativo","true","13","22:30","true","13","01:55"
"8088202f-9317-43b2-b72e-9aa5fcbf4704","Condomínio Edifício Cacique · Inadimplência","manager_atentum_cotas_pendentes","Manager","96b9bf60-4106-4ba0-94d2-ef984ef36b9f","CONDOMÍNIO EDIFÍCIO CACIQUE","Manager","Genske Advogados","ativo","false",,"08:00","true","13","02:03"
"737857cf-5107-4f8e-9b3d-ab1dfecb885f","CONDOMINIO EDIFICIO VIVAZ ESTAÇÃO VILA PRUDENTE · Inadimplência","bbz_condopro_clock_vila_romana","BBZ / CondoPro","aef5a945-615f-4635-8324-160677aaf6b8","CONDOMINIO EDIFICIO VIVAZ ESTAÇÃO VILA PRUDENTE","BBZ","Genske Advogados","ativo","true","13","22:35","true","13","02:12"
"3087a446-34ec-47b5-a255-eb6ad34bca81","Condomínio Edifício Guajará · Inadimplência","manager_atentum_cotas_pendentes","Manager","b3f7d67a-67f3-456b-b571-95ad6ef62c78","CONDOMÍNIO EDIFÍCIO GUAJARÁ","Manager","Genske Advogados","ativo","false",,"08:00","true","13","02:20"
"9f07af42-4e73-437f-952b-bd4d0c0af17e","CONDOMINIO ELO & ELO DUO CAMINHOS DA LAPA SETOR 3 RESIDENCIAL TORRE B · Inadimplência","bbz_condopro_clock_vila_romana","BBZ / CondoPro","158b7f0f-8690-4e8b-98e1-e84315afc597","CONDOMINIO ELO & ELO DUO CAMINHOS DA LAPA SETOR 3 RESIDENCIAL TORRE B","BBZ","Genske Advogados","ativo","true","13","22:40","true","13","02:28"
"6b99e7dd-1a5d-4293-8559-9265e374e02e","Condomínio Edifício Ilíada · Inadimplência","manager_atentum_cotas_pendentes","Manager","e7b50783-fa4d-410f-8b1d-bfcc279c0318","CONDOMINIO EDIFICIO ILIADA",,"Genske Advogados","ativo","false",,"08:00","true","13","02:37"
"674f19f1-a5f4-406c-8504-fef5b2d2b31f","CONDOMINIO HARMONIA 1040 - ESCRITÓRIOS · Inadimplência","bbz_condopro_clock_vila_romana","BBZ / CondoPro","0c172ea8-fcf3-46f7-af61-11834969c197","CONDOMINIO HARMONIA 1040 - ESCRITÓRIOS","BBZ","Genske Advogados","ativo","true","13","22:45","true","13","02:45"
"07bdd620-05f9-433b-9102-855d1456a924","Condomínio Edifício Imperial Berrini Offices · Inadimplência","manager_atentum_cotas_pendentes","Manager","7b7c59bf-5a67-456f-84f7-de20916fb44d","CONDOMÍNIO EDIFÍCIO IMPERIAL BERRINI OFFICES","Manager","Genske Advogados","ativo","false",,"08:00","true","13","02:54"
"9a992499-fbec-47ab-a39d-c3990c90bcb7","CONDOMINIO HARMONIA 1040 - LOJAS · Inadimplência","bbz_condopro_clock_vila_romana","BBZ / CondoPro","5a54929d-0e47-4ab9-b015-ef23d42a0096","CONDOMINIO HARMONIA 1040 - LOJAS","BBZ","Genske Advogados","ativo","true","13","22:50","true","13","03:02"
"6805d8fd-c53f-4477-a237-ceb345b19597","Condomínio Edifício Lara · Inadimplência","manager_atentum_cotas_pendentes","Manager","8d5d3a34-1fe1-4418-bbcf-2b03626640a4","CONDOMÍNIO EDIFÍCIO LARA","Manager","Genske Advogados","ativo","false",,"08:00","true","13","03:11"
"c65f28b5-8aa1-48c7-857a-4b21554f1299","CONDOMINIO HARMONIA 1040 SETOR RESIDENCIAL 2 LOFTS · Inadimplência","bbz_condopro_clock_vila_romana","BBZ / CondoPro","e9509333-631f-4df2-b45b-d0be54c9fc69","CONDOMINIO HARMONIA 1040 SETOR RESIDENCIAL 2 LOFTS","BBZ","Genske Advogados","ativo","true","13","23:05","true","13","03:19"
"1d5c963b-de57-4455-93cb-3c546f016ad5","Condomínio Edifício Oasis · Inadimplência","manager_atentum_cotas_pendentes","Manager","2fef8e0b-664e-4aad-b7af-1d702c586065","CONDOMÍNIO EDIFÍCIO OASIS","Manager","Genske Advogados","ativo","false",,"08:00","true","13","03:28"
"3fb540aa-8c97-4c3b-9b4f-a8368fee614d","CONDOMÍNIO PANORAMA VILA ROMANA · Inadimplência","bbz_condopro_clock_vila_romana","BBZ / CondoPro","8b532255-3b92-4dee-a123-88f104c8f6ef","CONDOMÍNIO PANORAMA VILA ROMANA","BBZ","GEKALI","ativo","true","13","22:55","true","13","03:36"
"55fbb287-503e-469a-8152-f65f6c1232a0","Condomínio Edifício São Manuel · Inadimplência","manager_atentum_cotas_pendentes","Manager","958506da-f78e-4033-a328-554916a83ef8","CONDOMINIO EDIFICIO SAO MANUEL",,"Genske Advogados","ativo","false",,"08:00","true","13","03:45"
"d3c68110-33a3-4915-85a2-30727b574e3f","ELO CAMINHOS DA LAPA TORRE A SETOR RESIDENCIAL 2 · Inadimplência","bbz_condopro_clock_vila_romana","BBZ / CondoPro","85099b56-894c-425d-96f6-0547e1281e35","ELO CAMINHOS DA LAPA TORRE A SETOR RESIDENCIAL 2",,"Genske Advogados","ativo","true","13","23:00","true","13","03:53"
"fc164f71-3421-41d8-afe9-e06ed9ccec27","Condomínio Haddock 885 · Inadimplência","manager_atentum_cotas_pendentes","Manager","1078b57b-a320-40ae-8c5c-0c07a4f6d6aa","CONDOMINIO HADDOCK 885",,"Genske Advogados","ativo","false",,"08:00","true","13","04:02"
"bae47885-574f-4b0a-9876-32115c75941f","Condomínio Horizontal Newport Village · Inadimplência","manager_atentum_cotas_pendentes","Manager","ea5985ff-0bf7-49aa-9c31-650ff1a30fb4","CONDOMÍNIO HORIZONTAL NEWPORT VILLAGE","Manager","Genske Advogados","ativo","false",,"08:00","true","13","04:10"
"10400b29-3208-4721-a797-6afb55729e90","Condomínio K360 Humberto I · Inadimplência","manager_atentum_cotas_pendentes","Manager","4bebafdc-97ea-4c90-85dc-757c0ce78e85","CONDOMÍNIO K360 HUMBERTO I","Manager","Genske Advogados","ativo","false",,"08:00","true","13","04:18"
"60b8a0a8-9b8c-4b65-bc90-7d7fc1331108","Condomínio K360 Humberto I Comercial · Inadimplência","manager_atentum_cotas_pendentes","Manager","b65bce9d-9168-4632-b833-2dbdaefbf8e8","CONDOMÍNIO K360º HUMBERTO I COMERCIAL","MANAGER","Genske Advogados","ativo","false",,"08:00","true","13","04:27"
"5ecc382b-cfba-4655-b3df-3e8e87047304","Condomínio K360 Humberto I Residencial · Inadimplência","manager_atentum_cotas_pendentes","Manager","8bac04c7-7d16-4b46-aa78-5af958d702a1","CONDOMÍNIO K360º HUMBERTO I-RESIDENCIAL","MANAGER","Genske Advogados","ativo","false",,"08:00","true","13","04:35"
