"script_key","condominio","data","horario_sp","agendado_para_utc","origem"
"bbz_condopro_clock_vila_romana","CLOCK VILA ROMANA","2026-08-18","00:30","2026-08-18T03:30:00.000Z","teste_madrugada_20260818"
"bbz_condopro_clock_vila_romana","COND. VIVAZ ESTAÇÃO VILA PRUDENTE","2026-08-18","01:03","2026-08-18T04:03:00.000Z","teste_madrugada_20260818"
"bbz_condopro_clock_vila_romana","CONDOMINIO DOMO RESIDENCIAL LIFE","2026-08-18","01:36","2026-08-18T04:36:00.000Z","teste_madrugada_20260818"
"bbz_condopro_clock_vila_romana","CONDOMINIO EDIFICIO ESTAÇÃO GABRIELE","2026-08-18","02:09","2026-08-18T05:09:00.000Z","teste_madrugada_20260818"
"bbz_condopro_clock_vila_romana","CONDOMINIO EDIFICIO VIVAZ ESTAÇÃO VILA PRUDENTE","2026-08-18","02:42","2026-08-18T05:42:00.000Z","teste_madrugada_20260818"
"bbz_condopro_clock_vila_romana","CONDOMINIO ELO & ELO DUO CAMINHOS DA LAPA SETOR 3 RESIDENCIAL TORRE B","2026-08-18","03:15","2026-08-18T06:15:00.000Z","teste_madrugada_20260818"
"bbz_condopro_clock_vila_romana","CONDOMINIO HARMONIA 1040 - ESCRITÓRIOS","2026-08-18","03:48","2026-08-18T06:48:00.000Z","teste_madrugada_20260818"
"bbz_condopro_clock_vila_romana","CONDOMINIO HARMONIA 1040 - LOJAS","2026-08-18","04:21","2026-08-18T07:21:00.000Z","teste_madrugada_20260818"
"bbz_condopro_clock_vila_romana","CONDOMINIO HARMONIA 1040 SETOR RESIDENCIAL 2 LOFTS","2026-08-18","04:54","2026-08-18T07:54:00.000Z","teste_madrugada_20260818"
"bbz_condopro_clock_vila_romana","CONDOMÍNIO PANORAMA VILA ROMANA","2026-08-18","05:27","2026-08-18T08:27:00.000Z","teste_madrugada_20260818"
"bbz_condopro_clock_vila_romana","ELO CAMINHOS DA LAPA TORRE A SETOR RESIDENCIAL 2","2026-08-18","06:00","2026-08-18T09:00:00.000Z","teste_madrugada_20260818"
"manager_atentum_cotas_pendentes","ASSOCIAÇÃO PALÁCIO DAS ÁGUAS HOME RESORT","2026-08-18","00:30","2026-08-18T03:30:00.000Z","teste_madrugada_20260818"
"manager_atentum_cotas_pendentes","CONDOMÍNIO ALPHA STAY","2026-08-18","00:44","2026-08-18T03:44:00.000Z","teste_madrugada_20260818"
"manager_atentum_cotas_pendentes","CONDOMÍNIO CÁDIZ JARDIM PRUDÊNCIA","2026-08-18","00:58","2026-08-18T03:58:00.000Z","teste_madrugada_20260818"
"manager_atentum_cotas_pendentes","CONDOMÍNIO CAROLINE MAHAL","2026-08-18","01:11","2026-08-18T04:11:00.000Z","teste_madrugada_20260818"
"manager_atentum_cotas_pendentes","CONDOMÍNIO EDIFÍCIO CACIQUE","2026-08-18","01:25","2026-08-18T04:25:00.000Z","teste_madrugada_20260818"
"manager_atentum_cotas_pendentes","CONDOMÍNIO EDIFÍCIO GUAJARÁ","2026-08-18","01:39","2026-08-18T04:39:00.000Z","teste_madrugada_20260818"
"manager_atentum_cotas_pendentes","CONDOMINIO EDIFICIO ILIADA","2026-08-18","01:53","2026-08-18T04:53:00.000Z","teste_madrugada_20260818"
"manager_atentum_cotas_pendentes","CONDOMÍNIO EDIFÍCIO IMPERIAL BERRINI OFFICES","2026-08-18","02:06","2026-08-18T05:06:00.000Z","teste_madrugada_20260818"
"manager_atentum_cotas_pendentes","CONDOMÍNIO EDIFÍCIO LARA","2026-08-18","02:20","2026-08-18T05:20:00.000Z","teste_madrugada_20260818"
"manager_atentum_cotas_pendentes","CONDOMÍNIO EDIFÍCIO OASIS","2026-08-18","02:34","2026-08-18T05:34:00.000Z","teste_madrugada_20260818"
"manager_atentum_cotas_pendentes","CONDOMINIO EDIFICIO SAO MANUEL","2026-08-18","02:48","2026-08-18T05:48:00.000Z","teste_madrugada_20260818"
"manager_atentum_cotas_pendentes","CONDOMINIO HADDOCK 885","2026-08-18","03:01","2026-08-18T06:01:00.000Z","teste_madrugada_20260818"
"manager_atentum_cotas_pendentes","CONDOMÍNIO HORIZONTAL NEWPORT VILLAGE","2026-08-18","03:15","2026-08-18T06:15:00.000Z","teste_madrugada_20260818"
"manager_atentum_cotas_pendentes","CONDOMÍNIO K360 HUMBERTO I","2026-08-18","03:29","2026-08-18T06:29:00.000Z","teste_madrugada_20260818"
"manager_atentum_cotas_pendentes","CONDOMÍNIO K360º HUMBERTO I COMERCIAL","2026-08-18","03:43","2026-08-18T06:43:00.000Z","teste_madrugada_20260818"
"manager_atentum_cotas_pendentes","CONDOMÍNIO K360º HUMBERTO I-RESIDENCIAL","2026-08-18","03:56","2026-08-18T06:56:00.000Z","teste_madrugada_20260818"
"manager_atentum_cotas_pendentes","CONDOMÍNIO MAISON D'ORSAY","2026-08-18","04:10","2026-08-18T07:10:00.000Z","teste_madrugada_20260818"
"manager_atentum_cotas_pendentes","CONDOMÍNIO NEW WAY","2026-08-18","04:24","2026-08-18T07:24:00.000Z","teste_madrugada_20260818"
"manager_atentum_cotas_pendentes","CONDOMÍNIO RAIZES DA MATA","2026-08-18","04:38","2026-08-18T07:38:00.000Z","teste_madrugada_20260818"
