cliente;documento;encontrado;base_nome;base_status
"CONDOMINIO BOSQUE MARAJOARA";"32.670.404/0001-89";"SIM";"CONDOMÍNIO BOSQUE MARAJOARA";"ativo"
"LAAGER TECNOLOGIAS SUSTENTAVEIS LTDA";"12.126.307/0001-12";"NAO";"";""
"CONDOMINIO FABBRICA MOOCA";"25.197.944/0001-21";"NAO";"";""
"GIRO TATUAPE";"30.088.899/0001-07";"NAO";"";""
"CONDOMINIO K360 HUMBERTO I";"50.887.640/0001-33";"SIM";"CONDOMÍNIO K360 HUMBERTO I";"ativo"
"CONDOMINIO EDIFICIO SAO MANUEL";"03.811.371/0001-41";"NAO";"";""
"CONDOMINIO SOMA PERDIZES - OFFICES";"56.911.617/0002-02";"NAO";"";""
"CONDOMINIO SOMA PERDIZES - RESIDENCIAL";"56.911.617/0001-13";"NAO";"";""
"CONDOMINIO HADDOCK 885";"65.644.615/0001-04";"NAO";"";""
"CONDOMINIO MENHAUS PANAMBY";"55.947.795/0001-31";"NAO";"";""
"CONDOMINIO EDIFICIO WIMBLEDON PARK";"03.206.814/0001-75";"NAO";"";""
"HI VIEW ALTO DA BOA VISTA";"63.744.144/0001-72";"NAO";"";""
"CONDOMINIO CLOCK VILA ROMANA";"42.216.619/0001-88";"SIM";"CLOCK VILA ROMANA";"ativo"
"ALIVE HOME CLUB BELEM";"59.383.451/0001-06";"NAO";"";""
"CONDOMINIO NEW WAY";"23.896.621/0001-09";"SIM";"CONDOMÍNIO NEW WAY";"ativo"
"ASSOCIACAO PALACIO DAS AGUAS HOME RESORT";"31.523.049/0001-52";"SIM";"ASSOCIAÇÃO PALÁCIO DAS ÁGUAS HOME RESORT";"ativo"
"CONDOMINIO ALPHAVILLE TRES PRAIAS RESIDENCIAL 3";"55.526.739/0001-23";"SIM";"CONDOMINIO ALPHAVILLE TRES PRAIAS – RESIDENCIAL 3";"ativo"
"CAMINHOS DA LAPA CONDOMINIO JERIVAS";"41.238.935/0001-98";"SIM";"CAMINHOS DA LAPA CONDOMÍNIO JERIVÁS";"ativo"
"CONDOMINIO CONCEPT HOME";"22.191.048/0001-67";"SIM";"CONDOMÍNIO ALPHA STAY";"ativo"
"CONDOMINIO CADIZ JARDIM PRUDENCIA";"47.908.154/0001-40";"SIM";"CONDOMÍNIO CÁDIZ JARDIM PRUDÊNCIA";"ativo"
"CONDOMINIO AYLA MOEMA - STUDIOS";"46.936.326/0002-07";"SIM";"CONDOMÍNIO AYLA MOEMA - RESIDENCIAL/ STUDIOS";"ativo"
"CONDOMINIO COMODITA CLUB RESIDENCE";"19.723.248/0001-09";"SIM";"CONDOMÍNIO COMODITÁ CLUB RESIDENCE";"ativo"
"CONDOMINIO COSMOPOLITAN HIGH GARDEN";"26.434.222/0001-06";"NAO";"";""
"CONDOMINIO CYRELA IBIRAPUERA BY YOO SETOR RESIDENCIAL 1";"49.109.007/0002-16";"SIM";"CONDOMÍNIO CYRELA IBIRAPUERA BY YOO - SETOR RESIDENCIAL 1";"ativo"
"CONDOMINIO DOMO RESIDENCIAL LIFE";"19.719.471/0001-82";"SIM";"CONDOMINIO DOMO RESIDENCIAL LIFE";"ativo"
"CONDOMINIO CYRELA IBIRAPUERA BY YOO SETOR RESIDENCIAL 2";"49.109.007/0001-35";"SIM";"CONDOMÍNIO CYRELA IBIRAPUERA BY YOO - SETOR RESIDENCIAL 2";"ativo"
"CONDOMINIO CYRELA THE PARC BY YOO RESIDENCES";"54.588.992/0001-49";"NAO";"";""
"CONDOMINIO EDIFICIO CHACARA DAS FLORES";"53.835.344/0001-87";"NAO";"";""
"CONDOMINIO EDIFICIO ESTACAO GABRIELE";"29.050.207/0001-52";"SIM";"CONDOMINIO EDIFICIO ESTAÇÃO GABRIELE";"ativo"
"CONDOMINIO EDIFICIO AIRPORT HOTELS";"05.524.902/0001-40";"NAO";"";""
"CONDOMINIO EDIFICIO GREENPARK PENTHOUSE";"65.472.409/0001-56";"NAO";"";""
"CONDOMINIO EDIFICIO CACIQUE";"55.234.678/0001-20";"SIM";"CONDOMÍNIO EDIFÍCIO CACIQUE";"ativo"
"CONDOMINIO EDIFICIO IMPERIAL BERRINI OFFICES";"02.498.495/0001-56";"SIM";"CONDOMÍNIO EDIFÍCIO IMPERIAL BERRINI OFFICES";"ativo"
"CONDOMINIO EDIFICIO OASIS";"10.933.934/0001-30";"SIM";"CONDOMÍNIO EDIFÍCIO OASIS";"ativo"
"CONDOMINIO EDIFICIO SOLAR DOS BANDEIRANTES";"55.294.375/0001-01";"SIM";"CONDOMÍNIO SOLAR DOS BANDEIRANTES";"ativo"
"CONDOMINIO FOLLOW THE EUREKA BUILDING";"26.307.047/0001-96";"SIM";"CONDOMÍNIO FOLLOW – THE EUREKA BUILDING";"ativo"
"CONDOMINIO MAISON D ORSAY";"07.439.062/0001-43";"SIM";"CONDOMÍNIO MAISON D'ORSAY";"ativo"
"CONDOMINIO EDIFICIO PARQUE MARAJOARA SOL";"54.461.801/0001-83";"NAO";"";""
"CONDOMINIO NORTE SETOR HOTELEIRO NORTE";"04.728.078/0001-88";"NAO";"";""
"CONDOMINIO VISO MOEMA";"46.073.676/0001-06";"SIM";"CONDOMÍNIO VISO MOEMA";"ativo"
"CONDOMINIO HARMONIA 1040 SETOR RESIDENCIAL 1 APARTAMENTOS";"52.389.637/0002-04";"NAO";"";""
"CONDOMINIO RESIDENCIAL DAS ILHAS";"08.769.535/0001-33";"SIM";"RESIDENCIAL DAS ILHAS";"ativo"
"CYRELA ATMOSFERA 360 SUBCONDOMINIO 2";"57.637.536/0004-82";"NAO";"";""
"NATAL CATARINA CARVALHO FERREIRA";"071.247.794-21";"NAO";"";""
